word,normalized
acara,acara
diacara,acara
acaranya,acara
acanya,acara
accara,acara
event,acara
acaranyaa,acara
acc,setuju
ada,ada
is,adalah
adalah,adalah
adanya,adanya
agak,agak
aga,agak
agar,agar
biar,agar
mengajak,ajak
mengajukan,aju
bakal,akan
akan,akan
mengakhirinya,akhir
akhir,akhir
berakhir,akhir
akhiri,akhir
weekend,akhir pekan
aksi,aksi
aktif,aktif
mengalami,alami
alangkah,alangkah
alhamdulillah,alhamdulillah
allah,allah
amalia,moderator
aman,aman
amat,sangat
diambil,ambil
amiin,amin
amin,amin
aamin,amin
anak,anak
anggota,mahasiswa
animasi,animasi
antar,antara
antara,antara
antusias,antusias
apa,apa
apalagi,apalagi
apalagi,apalagi
apapun,apapun
arahan,arahan
asal,asal
asikk,asyik
asik,asyik
mengasikkan,asyik
atas,atas
atau,atau
ataupun,atau
mengatur,atur
audiencenya,audiens
audience,audiens
audiens,audiens
audio,audio
awal,awal
awam,awam
bagi,bagi
bagian,bagian
bagus,bagus
bagusbagus,bagus
baguss,bagus
bahkan,bahkan
baikk,baik
baik,baik
bgtt,banget
bgt,banget
bangett,banget
bangsa,bangsa
multi,banyak
byk,banyak
banyakin,banyak
banyak,banyak
banyak,banyak
diperbanyak,banyak
kebanyakan,banyak
banyaknya,banyak
perbanyak,banyak
baru,baru
barusan,baru
beberapa,beberapa
gini,begini
begini,begini
gitu,begitu
bekal,bekal
bela,bela
pelajari,belajar
belajar,belajar
pembelajaran,belajar
belum,belum
belumm,belum
benarbenar,benar
kebenaran,benar
bener,benar
tabrakan,bentrok
bentrok,bentrok
berbagai,berbagai
sharing,berbagi
share,berbagi
sharescreen,berbagi layar
beda,berbeda
berbobot,berbobot
bergabung,bergabung
berguna,berguna
berharap,berharap
berharga,berharga
berhubungan,berhubungan
next,berikutnya
berikutnya,berikutnya
kresek,berisik
berkat,berkat
berkesan,berkesan
berkomunikasi,berkomunikasi
berkualitas,berkualitas
berlalu,berlalu
berlangsungnya,berlangsung
beralngsung,berlangsung
berlangsung,berlangsung
berlanjut,berlanjut
benlanjut,berlanjut
bermanfaat,bermanfaat
bermanfat,bermanfaat
bermutu,bermutu
bersikap,bersikap
survive,bertahan
besar,besar
big,besar
besok,besok
betah,betah
betapa,betapa
biasa,biasa
berbicara,berbicara
bidang,bidang
bidan,bidang
bijak,bijak
bikin,buat
apabila,bila
bisa,bisa
bismillah,bismillah
bocor,bocor
bosan,bosan
bwt,buat
buat,buat
buffering,bufering
